"SteuerJahr","QuarSort","QuarLang","SteuerTarifSort","SteuerTarifLang","SteuerEinkommen_p50","SteuerEinkommen_p25","SteuerEinkommen_p75"
1999,92,"Altstetten",0,"Grundtarif",33.5,18.3,49.4
1999,92,"Altstetten",1,"Verheiratetentarif",58.2,43.1,78.3
1999,92,"Altstetten",2,"Einelternfamilientarif",32.4,16.4,45.9
1999,101,"Höngg",0,"Grundtarif",42.1,21.6,61.8
1999,101,"Höngg",1,"Verheiratetentarif",74.8,54.1,106.4
1999,101,"Höngg",2,"Einelternfamilientarif",39.4,23.4,57
1999,102,"Wipkingen",0,"Grundtarif",34.29,18.2,52.3
1999,102,"Wipkingen",1,"Verheiratetentarif",59.4,41.9,81.8
1999,102,"Wipkingen",2,"Einelternfamilientarif",35.3,18.3,49.3
1999,111,"Affoltern",0,"Grundtarif",32.8,17.5,48.6
1999,111,"Affoltern",1,"Verheiratetentarif",60.6,44.4,81.2
1999,111,"Affoltern",2,"Einelternfamilientarif",33.55,19.2,47.4
1999,115,"Oerlikon",0,"Grundtarif",37,20,53.9
1999,115,"Oerlikon",1,"Verheiratetentarif",63.85,42.9,89.65
1999,115,"Oerlikon",2,"Einelternfamilientarif",37.1,23.6,54.7
1999,119,"Seebach",0,"Grundtarif",32,17.7,48.25
1999,119,"Seebach",1,"Verheiratetentarif",56.7,40,77.7
1999,119,"Seebach",2,"Einelternfamilientarif",32,16.3,46.1
1999,121,"Saatlen",0,"Grundtarif",27.3,15,41.5
1999,121,"Saatlen",1,"Verheiratetentarif",53.6,39.4,69.6
1999,121,"Saatlen",2,"Einelternfamilientarif",28.3,14.15,42.25
1999,122,"Schwamendingen-Mitte",0,"Grundtarif",30,17.5,45
1999,122,"Schwamendingen-Mitte",1,"Verheiratetentarif",56.8,39.9,75.6
1999,122,"Schwamendingen-Mitte",2,"Einelternfamilientarif",29.8,12.8,47.8
1999,123,"Hirzenbach",0,"Grundtarif",26.6,14.9,42
1999,123,"Hirzenbach",1,"Verheiratetentarif",55,40.5,70.9
1999,123,"Hirzenbach",2,"Einelternfamilientarif",32.1,17.3,40.2
2000,11,"Rathaus",0,"Grundtarif",42.2,19.15,69.3
2000,11,"Rathaus",1,"Verheiratetentarif",85.5,51.8,131.6
2000,11,"Rathaus",2,"Einelternfamilientarif",51.55,26.6,97.65
2000,12,"Hochschulen",0,"Grundtarif",32.2,13.5,59.4
2000,12,"Hochschulen",1,"Verheiratetentarif",96.65,53.35,188
2000,12,"Hochschulen",2,"Einelternfamilientarif",,,
2000,13,"Lindenhof",0,"Grundtarif",44.1,21.4,75.6
2000,13,"Lindenhof",1,"Verheiratetentarif",114.95,72.6,200.7
2000,13,"Lindenhof",2,"Einelternfamilientarif",,,
2000,14,"City",0,"Grundtarif",37,13.55,67.9
2000,14,"City",1,"Verheiratetentarif",75.4,49.7,101.6
2000,14,"City",2,"Einelternfamilientarif",,,
2000,21,"Wollishofen",0,"Grundtarif",37.7,20,58
2000,21,"Wollishofen",1,"Verheiratetentarif",69.75,51,100
2000,21,"Wollishofen",2,"Einelternfamilientarif",38.1,23.1,57.75
2000,23,"Leimbach",0,"Grundtarif",32.8,18.4,51.9
2000,23,"Leimbach",1,"Verheiratetentarif",69.4,48.55,93.45
2000,23,"Leimbach",2,"Einelternfamilientarif",41.5,25,59.3
2000,24,"Enge",0,"Grundtarif",45.7,21.5,70.5
2000,24,"Enge",1,"Verheiratetentarif",86.7,55.4,141.3
2000,24,"Enge",2,"Einelternfamilientarif",44.9,20.1,72.5
2000,31,"Alt-Wiedikon",0,"Grundtarif",38.85,21.1,57.2
2000,31,"Alt-Wiedikon",1,"Verheiratetentarif",64.4,42.7,92.1
2000,31,"Alt-Wiedikon",2,"Einelternfamilientarif",38.35,23.2,55.75
2000,33,"Friesenberg",0,"Grundtarif",27.9,12.2,44.5
2000,33,"Friesenberg",1,"Verheiratetentarif",63.4,47.3,82.3
2000,33,"Friesenberg",2,"Einelternfamilientarif",36.4,20,49
2000,34,"Sihlfeld",0,"Grundtarif",34.1,18.3,51.4
2000,34,"Sihlfeld",1,"Verheiratetentarif",56.4,38.2,75.3
2000,34,"Sihlfeld",2,"Einelternfamilientarif",30.6,14.8,43.5
2000,41,"Werd",0,"Grundtarif",35.4,17,55.55
2000,41,"Werd",1,"Verheiratetentarif",56.25,36,80.8
2000,41,"Werd",2,"Einelternfamilientarif",30,17.7,48.9
2000,42,"Langstrasse",0,"Grundtarif",31.4,15,50.2
2000,42,"Langstrasse",1,"Verheiratetentarif",53.2,34.7,76
2000,42,"Langstrasse",2,"Einelternfamilientarif",33.8,14.9,47.8
2000,44,"Hard",0,"Grundtarif",28.1,15.7,43.2
2000,44,"Hard",1,"Verheiratetentarif",53.4,37.4,70
2000,44,"Hard",2,"Einelternfamilientarif",31.3,14.4,44.3
2000,51,"Gewerbeschule",0,"Grundtarif",34.6,17.75,51.7
2000,51,"Gewerbeschule",1,"Verheiratetentarif",56,40.1,75.8
2000,51,"Gewerbeschule",2,"Einelternfamilientarif",33.8,21.7,45
2000,52,"Escher Wyss",0,"Grundtarif",40.4,20.6,62.3
2000,52,"Escher Wyss",1,"Verheiratetentarif",59.1,40.4,80.7
2000,52,"Escher Wyss",2,"Einelternfamilientarif",34.45,15.3,50
2000,61,"Unterstrass",0,"Grundtarif",37.95,20,58.35
2000,61,"Unterstrass",1,"Verheiratetentarif",66.3,46.7,94
2000,61,"Unterstrass",2,"Einelternfamilientarif",37.35,22.4,52.25
2000,63,"Oberstrass",0,"Grundtarif",43.6,20.7,70
2000,63,"Oberstrass",1,"Verheiratetentarif",96.95,64.95,160.6
2000,63,"Oberstrass",2,"Einelternfamilientarif",50.5,27.9,92.7
2000,71,"Fluntern",0,"Grundtarif",48,17.6,79.6
2000,71,"Fluntern",1,"Verheiratetentarif",127.4,76.4,225
2000,71,"Fluntern",2,"Einelternfamilientarif",55.7,31,101.7
2000,72,"Hottingen",0,"Grundtarif",42.5,18.8,70.7
2000,72,"Hottingen",1,"Verheiratetentarif",101.45,62.15,171.55
2000,72,"Hottingen",2,"Einelternfamilientarif",51.7,29,89.4
2000,73,"Hirslanden",0,"Grundtarif",40,19.35,63.7
2000,73,"Hirslanden",1,"Verheiratetentarif",86.9,55.4,140.9
2000,73,"Hirslanden",2,"Einelternfamilientarif",47.2,26.9,67.8
2000,74,"Witikon",0,"Grundtarif",44.4,20.7,67.1
2000,74,"Witikon",1,"Verheiratetentarif",88.4,57.65,140.75
2000,74,"Witikon",2,"Einelternfamilientarif",47.5,29.5,68.9
2000,81,"Seefeld",0,"Grundtarif",45.95,23.5,70.1
2000,81,"Seefeld",1,"Verheiratetentarif",82.9,50.4,128.6
2000,81,"Seefeld",2,"Einelternfamilientarif",42.1,19.5,63.2
2000,82,"Mühlebach",0,"Grundtarif",42.8,20.9,65.6
2000,82,"Mühlebach",1,"Verheiratetentarif",83.45,52.7,122.25
2000,82,"Mühlebach",2,"Einelternfamilientarif",45.3,25.65,73.4
2000,83,"Weinegg",0,"Grundtarif",41.7,19.9,63.3
2000,83,"Weinegg",1,"Verheiratetentarif",84,60,134.4
2000,83,"Weinegg",2,"Einelternfamilientarif",43.85,27.2,58.7
2000,91,"Albisrieden",0,"Grundtarif",35.7,20.3,52.7
2000,91,"Albisrieden",1,"Verheiratetentarif",63.4,46.6,87.9
2000,91,"Albisrieden",2,"Einelternfamilientarif",36.1,23,50.9
2000,92,"Altstetten",0,"Grundtarif",34.8,19.2,51.2
2000,92,"Altstetten",1,"Verheiratetentarif",60.3,44.9,81.2
2000,92,"Altstetten",2,"Einelternfamilientarif",32.75,15.05,46
2000,101,"Höngg",0,"Grundtarif",43.4,22.4,64.3
2000,101,"Höngg",1,"Verheiratetentarif",77.85,55.8,110.1
2000,101,"Höngg",2,"Einelternfamilientarif",40.9,25,58.3
2000,102,"Wipkingen",0,"Grundtarif",36.9,19.1,55.2
2000,102,"Wipkingen",1,"Verheiratetentarif",62.1,44.1,86
2000,102,"Wipkingen",2,"Einelternfamilientarif",37.2,20.9,52.2
2000,111,"Affoltern",0,"Grundtarif",33.6,17.9,50
2000,111,"Affoltern",1,"Verheiratetentarif",62.9,45.8,83.4
2000,111,"Affoltern",2,"Einelternfamilientarif",34.75,22,49.5
2000,115,"Oerlikon",0,"Grundtarif",38.3,20.3,56.1
2000,115,"Oerlikon",1,"Verheiratetentarif",65.6,45.3,93.1
2000,115,"Oerlikon",2,"Einelternfamilientarif",39.4,21.55,55.35
2000,119,"Seebach",0,"Grundtarif",33.2,18,49.7
2000,119,"Seebach",1,"Verheiratetentarif",58.6,41.6,79.8
2000,119,"Seebach",2,"Einelternfamilientarif",34.25,18.3,47.6
2000,121,"Saatlen",0,"Grundtarif",29,15.4,42.8
2000,121,"Saatlen",1,"Verheiratetentarif",54.9,40.3,72.1
2000,121,"Saatlen",2,"Einelternfamilientarif",29.8,17.8,44.1
2000,122,"Schwamendingen-Mitte",0,"Grundtarif",31.6,18.15,46.85
2000,122,"Schwamendingen-Mitte",1,"Verheiratetentarif",57.9,40.2,77
2000,122,"Schwamendingen-Mitte",2,"Einelternfamilientarif",30.05,12.85,43.5
2000,123,"Hirzenbach",0,"Grundtarif",28.1,15.3,42.5
2000,123,"Hirzenbach",1,"Verheiratetentarif",56.3,41.55,73.1
2000,123,"Hirzenbach",2,"Einelternfamilientarif",32.8,15.4,44.6
2001,11,"Rathaus",0,"Grundtarif",44.9,19.2,72.4
2001,11,"Rathaus",1,"Verheiratetentarif",93.05,52.1,139.2
2001,11,"Rathaus",2,"Einelternfamilientarif",50.5,26.85,104.95
2001,12,"Hochschulen",0,"Grundtarif",35.2,12.1,62.55
2001,12,"Hochschulen",1,"Verheiratetentarif",99.65,47,191.3
2001,12,"Hochschulen",2,"Einelternfamilientarif",,,
2001,13,"Lindenhof",0,"Grundtarif",48.45,21.5,85
2001,13,"Lindenhof",1,"Verheiratetentarif",128.5,84.1,195
2001,13,"Lindenhof",2,"Einelternfamilientarif",,,
2001,14,"City",0,"Grundtarif",35.6,13.8,64.6
2001,14,"City",1,"Verheiratetentarif",76.6,47.4,103.7
2001,14,"City",2,"Einelternfamilientarif",,,
2001,21,"Wollishofen",0,"Grundtarif",39.6,20.7,60.2
2001,21,"Wollishofen",1,"Verheiratetentarif",73.4,52.85,105.9
2001,21,"Wollishofen",2,"Einelternfamilientarif",40.4,25,59.48
2001,23,"Leimbach",0,"Grundtarif",35,19.7,53.5
2001,23,"Leimbach",1,"Verheiratetentarif",70.3,48.9,97.5
2001,23,"Leimbach",2,"Einelternfamilientarif",46.9,31.9,62.5
2001,24,"Enge",0,"Grundtarif",47.4,22.5,75.85
2001,24,"Enge",1,"Verheiratetentarif",92.7,59.15,153.2
2001,24,"Enge",2,"Einelternfamilientarif",45.2,20.9,84.8
2001,31,"Alt-Wiedikon",0,"Grundtarif",39.7,21.9,60
2001,31,"Alt-Wiedikon",1,"Verheiratetentarif",67.1,44.2,97.2
2001,31,"Alt-Wiedikon",2,"Einelternfamilientarif",41.6,23.6,60.2
2001,33,"Friesenberg",0,"Grundtarif",29.95,12.7,46.75
2001,33,"Friesenberg",1,"Verheiratetentarif",64,49.1,85
2001,33,"Friesenberg",2,"Einelternfamilientarif",37.45,20,52.1
2001,34,"Sihlfeld",0,"Grundtarif",35.5,19.8,53.6
2001,34,"Sihlfeld",1,"Verheiratetentarif",58.3,39.7,78.1
2001,34,"Sihlfeld",2,"Einelternfamilientarif",31.8,16.1,46.1
2001,41,"Werd",0,"Grundtarif",38.15,19.9,58.8
2001,41,"Werd",1,"Verheiratetentarif",60.3,36.35,85.15
2001,41,"Werd",2,"Einelternfamilientarif",32.9,12.5,59
2001,42,"Langstrasse",0,"Grundtarif",32.9,16,52.7
2001,42,"Langstrasse",1,"Verheiratetentarif",54.8,35,75.2
2001,42,"Langstrasse",2,"Einelternfamilientarif",36.4,16.5,50
2001,44,"Hard",0,"Grundtarif",30,16.9,45.7
2001,44,"Hard",1,"Verheiratetentarif",55,38.9,70.9
2001,44,"Hard",2,"Einelternfamilientarif",31,18.6,45.1
2001,51,"Gewerbeschule",0,"Grundtarif",36,18.4,55
2001,51,"Gewerbeschule",1,"Verheiratetentarif",57.4,41,77.6
2001,51,"Gewerbeschule",2,"Einelternfamilientarif",33.95,20,47.3
2001,52,"Escher Wyss",0,"Grundtarif",41.3,20.5,63.9
2001,52,"Escher Wyss",1,"Verheiratetentarif",64.65,44,90.7
2001,52,"Escher Wyss",2,"Einelternfamilientarif",42.55,21.95,58.3
2001,61,"Unterstrass",0,"Grundtarif",39.7,20.7,61.5
2001,61,"Unterstrass",1,"Verheiratetentarif",69.2,48.9,99.8
2001,61,"Unterstrass",2,"Einelternfamilientarif",38.5,23.9,55.3
2001,63,"Oberstrass",0,"Grundtarif",45.3,21,72.4
2001,63,"Oberstrass",1,"Verheiratetentarif",102.75,66,172.2
2001,63,"Oberstrass",2,"Einelternfamilientarif",54.2,30,89
2001,71,"Fluntern",0,"Grundtarif",48.6,16.7,82.6
2001,71,"Fluntern",1,"Verheiratetentarif",127.8,78.1,233.6
2001,71,"Fluntern",2,"Einelternfamilientarif",61.1,33.6,108.1
2001,72,"Hottingen",0,"Grundtarif",45,20,72.6
2001,72,"Hottingen",1,"Verheiratetentarif",104.2,66.3,175
2001,72,"Hottingen",2,"Einelternfamilientarif",49.65,26.8,93.2
2001,73,"Hirslanden",0,"Grundtarif",41.6,20.1,66.4
2001,73,"Hirslanden",1,"Verheiratetentarif",87,55.75,149.2
2001,73,"Hirslanden",2,"Einelternfamilientarif",46.8,28.15,73.2
2001,74,"Witikon",0,"Grundtarif",45.3,21.9,69.4
2001,74,"Witikon",1,"Verheiratetentarif",92,60,141.7
2001,74,"Witikon",2,"Einelternfamilientarif",52.8,34.1,75.6
2001,81,"Seefeld",0,"Grundtarif",47.35,24.5,72.4
2001,81,"Seefeld",1,"Verheiratetentarif",86.5,51.95,143.85
2001,81,"Seefeld",2,"Einelternfamilientarif",46.9,27.45,76.75
2001,82,"Mühlebach",0,"Grundtarif",44,22.2,68.9
2001,82,"Mühlebach",1,"Verheiratetentarif",86.2,55.2,132.8
2001,82,"Mühlebach",2,"Einelternfamilientarif",51.85,29.7,76
2001,83,"Weinegg",0,"Grundtarif",43.6,21,66.3
2001,83,"Weinegg",1,"Verheiratetentarif",86.3,62.3,138.3
2001,83,"Weinegg",2,"Einelternfamilientarif",54,29.9,77.2
2001,91,"Albisrieden",0,"Grundtarif",37.8,21.2,54.9
2001,91,"Albisrieden",1,"Verheiratetentarif",65.6,48.2,91.6
2001,91,"Albisrieden",2,"Einelternfamilientarif",39.8,24.7,52.95
2001,92,"Altstetten",0,"Grundtarif",36,19.8,52.8
2001,92,"Altstetten",1,"Verheiratetentarif",62.2,45.8,83.3
2001,92,"Altstetten",2,"Einelternfamilientarif",35,17.6,49
2001,101,"Höngg",0,"Grundtarif",45.1,23.5,66.7
2001,101,"Höngg",1,"Verheiratetentarif",80.7,58.1,116.2
2001,101,"Höngg",2,"Einelternfamilientarif",43.3,28.2,62.5
2001,102,"Wipkingen",0,"Grundtarif",38.8,20.4,57.8
2001,102,"Wipkingen",1,"Verheiratetentarif",65.2,45.9,90
2001,102,"Wipkingen",2,"Einelternfamilientarif",37.8,23.05,53.95
2001,111,"Affoltern",0,"Grundtarif",34.4,18.3,51.6
2001,111,"Affoltern",1,"Verheiratetentarif",65,46.7,86.7
2001,111,"Affoltern",2,"Einelternfamilientarif",37,22.1,52.6
2001,115,"Oerlikon",0,"Grundtarif",40,21.1,59.6
2001,115,"Oerlikon",1,"Verheiratetentarif",69.9,47.8,100.4
2001,115,"Oerlikon",2,"Einelternfamilientarif",39.7,23.8,58.8
2001,119,"Seebach",0,"Grundtarif",34.3,18.5,50.9
2001,119,"Seebach",1,"Verheiratetentarif",59.9,42.4,81.4
2001,119,"Seebach",2,"Einelternfamilientarif",34,16.7,50.3
2001,121,"Saatlen",0,"Grundtarif",31.3,16.8,45.35
2001,121,"Saatlen",1,"Verheiratetentarif",58,41.7,75.95
2001,121,"Saatlen",2,"Einelternfamilientarif",32.65,20.4,45.5
2001,122,"Schwamendingen-Mitte",0,"Grundtarif",32.8,18.35,48.6
2001,122,"Schwamendingen-Mitte",1,"Verheiratetentarif",59.85,41.7,77.7
2001,122,"Schwamendingen-Mitte",2,"Einelternfamilientarif",31,15,48.1
2001,123,"Hirzenbach",0,"Grundtarif",28.7,15.8,43.6
2001,123,"Hirzenbach",1,"Verheiratetentarif",58.7,43.1,76.4
2001,123,"Hirzenbach",2,"Einelternfamilientarif",33.2,16.7,46.2
2002,11,"Rathaus",0,"Grundtarif",43.8,19.3,72.7
2002,11,"Rathaus",1,"Verheiratetentarif",87.05,49.85,145.25
2002,11,"Rathaus",2,"Einelternfamilientarif",54.5,28.8,114.9
2002,12,"Hochschulen",0,"Grundtarif",33,13,61.9
2002,12,"Hochschulen",1,"Verheiratetentarif",105,57.05,195.2
2002,12,"Hochschulen",2,"Einelternfamilientarif",,,
2002,13,"Lindenhof",0,"Grundtarif",44.9,20,80.5
2002,13,"Lindenhof",1,"Verheiratetentarif",121.8,82.85,194.4
2002,13,"Lindenhof",2,"Einelternfamilientarif",,,
2002,14,"City",0,"Grundtarif",36.3,15.2,68
2002,14,"City",1,"Verheiratetentarif",79.5,47.3,106.4
2002,14,"City",2,"Einelternfamilientarif",40.7,25.3,63
2002,21,"Wollishofen",0,"Grundtarif",39.4,19.8,60
2002,21,"Wollishofen",1,"Verheiratetentarif",73.5,53.3,106.4
2002,21,"Wollishofen",2,"Einelternfamilientarif",42.5,24.9,62.3
2002,23,"Leimbach",0,"Grundtarif",36.3,20,54.8
2002,23,"Leimbach",1,"Verheiratetentarif",69.3,47.3,95.4
2002,23,"Leimbach",2,"Einelternfamilientarif",47.6,30.5,65.2
2002,24,"Enge",0,"Grundtarif",46.6,21.85,73.8
2002,24,"Enge",1,"Verheiratetentarif",93.4,58,147.6
2002,24,"Enge",2,"Einelternfamilientarif",48.8,21.5,84.2
2002,31,"Alt-Wiedikon",0,"Grundtarif",40.4,21.6,60.2
2002,31,"Alt-Wiedikon",1,"Verheiratetentarif",64.6,42.5,95
2002,31,"Alt-Wiedikon",2,"Einelternfamilientarif",40,21.7,61.5
2002,33,"Friesenberg",0,"Grundtarif",29.65,12.3,47.1
2002,33,"Friesenberg",1,"Verheiratetentarif",64.95,49.3,85.4
2002,33,"Friesenberg",2,"Einelternfamilientarif",38.9,24.5,53.3
2002,34,"Sihlfeld",0,"Grundtarif",35.5,18.9,53.7
2002,34,"Sihlfeld",1,"Verheiratetentarif",58.15,39.3,77.6
2002,34,"Sihlfeld",2,"Einelternfamilientarif",33.7,18.3,48.1
2002,41,"Werd",0,"Grundtarif",38.6,18.3,58.6
2002,41,"Werd",1,"Verheiratetentarif",60,36.9,82.9
2002,41,"Werd",2,"Einelternfamilientarif",30.1,8.6,53.4
2002,42,"Langstrasse",0,"Grundtarif",32.9,15.6,53
2002,42,"Langstrasse",1,"Verheiratetentarif",54.25,35.4,75.5
2002,42,"Langstrasse",2,"Einelternfamilientarif",34.55,17.8,50.6
2002,44,"Hard",0,"Grundtarif",29.7,15.9,45.4
2002,44,"Hard",1,"Verheiratetentarif",55.2,38.35,72.15
2002,44,"Hard",2,"Einelternfamilientarif",33.1,17.4,46.1
2002,51,"Gewerbeschule",0,"Grundtarif",35.95,18.4,55.4
2002,51,"Gewerbeschule",1,"Verheiratetentarif",57,38.2,77.6
2002,51,"Gewerbeschule",2,"Einelternfamilientarif",35.1,23.3,47.2
2002,52,"Escher Wyss",0,"Grundtarif",45.1,25,64.7
2002,52,"Escher Wyss",1,"Verheiratetentarif",68.8,47.2,100.8
2002,52,"Escher Wyss",2,"Einelternfamilientarif",42.35,18.5,68.3
2002,61,"Unterstrass",0,"Grundtarif",40.5,21.3,62.2
2002,61,"Unterstrass",1,"Verheiratetentarif",70.1,50,98.6
2002,61,"Unterstrass",2,"Einelternfamilientarif",40.1,24.8,58.5
2002,63,"Oberstrass",0,"Grundtarif",45.7,20.6,73.8
2002,63,"Oberstrass",1,"Verheiratetentarif",103.95,66.8,162
2002,63,"Oberstrass",2,"Einelternfamilientarif",56,29.8,91.8
2002,71,"Fluntern",0,"Grundtarif",48.35,17.05,81.8
2002,71,"Fluntern",1,"Verheiratetentarif",127.2,77.8,219.6
2002,71,"Fluntern",2,"Einelternfamilientarif",65,42.2,122.9
2002,72,"Hottingen",0,"Grundtarif",45.5,20.2,75.3
2002,72,"Hottingen",1,"Verheiratetentarif",106.9,66.6,180
2002,72,"Hottingen",2,"Einelternfamilientarif",52.6,31,89.8
2002,73,"Hirslanden",0,"Grundtarif",42.05,20.35,67.4
2002,73,"Hirslanden",1,"Verheiratetentarif",87.5,57.1,146.6
2002,73,"Hirslanden",2,"Einelternfamilientarif",51,35.9,77.1
2002,74,"Witikon",0,"Grundtarif",45.1,21.4,69
2002,74,"Witikon",1,"Verheiratetentarif",91,58.5,138.1
2002,74,"Witikon",2,"Einelternfamilientarif",54.4,32.75,85
2002,81,"Seefeld",0,"Grundtarif",47.8,24.3,74
2002,81,"Seefeld",1,"Verheiratetentarif",84.7,52.6,141.7
2002,81,"Seefeld",2,"Einelternfamilientarif",50.7,27.3,85.3
2002,82,"Mühlebach",0,"Grundtarif",43.3,21.6,69.2
2002,82,"Mühlebach",1,"Verheiratetentarif",86.1,56.9,130
2002,82,"Mühlebach",2,"Einelternfamilientarif",50.6,31.5,74.9
2002,83,"Weinegg",0,"Grundtarif",43.25,19.35,66.1
2002,83,"Weinegg",1,"Verheiratetentarif",90.55,61.1,138.45
2002,83,"Weinegg",2,"Einelternfamilientarif",47.95,24.75,67.95
2002,91,"Albisrieden",0,"Grundtarif",37,20.9,54.5
2002,91,"Albisrieden",1,"Verheiratetentarif",65.1,48,91.2
2002,91,"Albisrieden",2,"Einelternfamilientarif",39.5,23.3,55
2002,92,"Altstetten",0,"Grundtarif",36.2,19.5,52.9
2002,92,"Altstetten",1,"Verheiratetentarif",62.5,46.2,82.9
2002,92,"Altstetten",2,"Einelternfamilientarif",35.6,19.4,50
2002,101,"Höngg",0,"Grundtarif",45.3,23.6,66.7
